activation_id,customer_id,campaign_name,activation_date,channel,segment_used,data_fields_used,outcome,revenue_attributed_eur,consent_verified_at_send,activation_approved_by,destination_platform
ACT-00173,CRM-00237,Spring Sale 2024,2025-04-02,In-App Banner,Loyal,"email, profiling_score, segment",opened,0,TRUE,Data Team,Meta Ads Manager
ACT-00174,CRM-00225,Win-Back 90d,2023-10-24,Display Retargeting,High-Value,"email, segment, ltv",no_response,0,TRUE,Auto-trigger,Klaviyo
ACT-00175,CRM-00182,Cart Abandonment,2023-10-20,In-App Banner,High-Value,"email, profiling_score, segment",opened,0,TRUE,Auto-trigger,Internal
ACT-00176,CRM-00216,Black Friday 2024,2024-08-10,Paid Social - Google,Occasional,"email, profiling_score, segment",no_response,13.16,TRUE,Data Team,Braze
ACT-00177,CRM-00297,Loyalty Reward,2023-07-06,SMS,High-Value,"email, profiling_score, segment",no_response,0,TRUE,Marketing Ops,Klaviyo
ACT-00178,CRM-00094,Spring Sale 2024,2023-01-17,Push Notification,New,"email, segment",no_response,0,TRUE,CRM Team,Meta Ads Manager
ACT-00179,CRM-00202,Loyalty Reward,2025-01-01,Paid Social - Google,Loyal,"email, segment, ltv",opened,0,TRUE,Auto-trigger,Internal
ACT-00180,CRM-00239,Black Friday 2024,2024-04-08,Push Notification,At-Risk,"email, sms, segment, ltv, last_order_date",unsubscribed,0,TRUE,CRM Team,Meta Ads Manager
ACT-00181,CRM-00152,Birthday Campaign,2023-09-19,SMS,Occasional,"email, segment, ltv",converted,145.16,FALSE,Marketing Ops,Klaviyo
ACT-00182,CRM-00087,New Arrivals - Electronics,2024-08-19,Paid Social - Google,New,"email, purchase_history, category_affinity",no_response,0,TRUE,CRM Team,Braze
ACT-00183,CRM-00088,New Arrivals - Electronics,2025-04-06,Email,Loyal,"email, segment",opened,0,TRUE,Data Team,Braze
ACT-00184,CRM-00048,Re-engagement Q3,2023-06-19,Email,Loyal,"email, profiling_score, segment",no_response,0,TRUE,Marketing Ops,Klaviyo
ACT-00185,CRM-00164,Loyalty Reward,2024-02-17,In-App Banner,Occasional,"email, profiling_score, segment",converted,0,TRUE,Auto-trigger,Klaviyo
ACT-00186,CRM-00045,Loyalty Reward,2025-02-13,Display Retargeting,Loyal,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Marketing Ops,Internal
ACT-00187,CRM-00201,Spring Sale 2024,2024-09-04,Paid Social - Meta,High-Value,"email, sms, segment, ltv, last_order_date",converted,213.41,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00188,CRM-00163,New Arrivals - Electronics,2024-12-24,SMS,At-Risk,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00189,CRM-00087,Loyalty Reward,2024-08-09,Email,Occasional,"email, sms, segment, ltv, last_order_date",clicked,193.76,TRUE,Auto-trigger,Meta Ads Manager
ACT-00190,CRM-00157,Cart Abandonment,2024-09-30,Push Notification,Loyal,"email, sms, segment, ltv, last_order_date",clicked,0,TRUE,CRM Team,Google Ads
ACT-00191,CRM-00231,New Arrivals - Electronics,2024-10-02,In-App Banner,New,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Marketing Ops,Klaviyo
ACT-00192,CRM-00046,Birthday Campaign,2024-03-06,Email,New,"device_id, browsing_behaviour",opened,0,TRUE,CRM Team,Klaviyo
ACT-00193,CRM-00248,VIP Early Access,2025-02-24,Email,At-Risk,"email, purchase_history, category_affinity",opened,0,FALSE,Marketing Ops,Braze
ACT-00194,CRM-00087,Spring Sale 2024,2024-10-01,Email,Loyal,"email, segment, ltv",converted,257.24,TRUE,Data Team,Klaviyo
ACT-00195,CRM-00187,Win-Back 90d,2024-08-09,Push Notification,Occasional,"email, segment, ltv",no_response,178.55,TRUE,CRM Team,Meta Ads Manager
ACT-00196,CRM-00013,Spring Sale 2024,2025-04-07,In-App Banner,High-Value,"device_id, browsing_behaviour",clicked,141.67,FALSE,Marketing Ops,Internal
ACT-00197,CRM-00114,New Arrivals - Electronics,2024-01-20,SMS,Loyal,"email, segment, ltv",no_response,250.9,TRUE,Marketing Ops,Klaviyo
ACT-00198,CRM-00013,Birthday Campaign,2025-03-10,SMS,New,"email, profiling_score, segment",no_response,187.32,FALSE,Auto-trigger,Braze
ACT-00199,CRM-00131,VIP Early Access,2024-11-03,Display Retargeting,At-Risk,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Auto-trigger,Klaviyo
ACT-00200,CRM-00008,Re-engagement Q3,2023-10-31,Push Notification,Occasional,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00201,CRM-00180,VIP Early Access,2025-04-30,Paid Social - Google,High-Value,"email, profiling_score, segment",opened,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00202,CRM-00001,VIP Early Access,2024-07-19,Display Retargeting,Loyal,"email, sms, segment, ltv, last_order_date",bounced,93.26,FALSE,Auto-trigger,Google Ads
ACT-00203,CRM-00079,Cart Abandonment,2024-10-19,Push Notification,At-Risk,"email, segment",unsubscribed,0,TRUE,CRM Team,Braze
ACT-00204,CRM-00074,Win-Back 90d,2024-09-11,Email,Loyal,"email, profiling_score, segment",no_response,231.15,FALSE,Auto-trigger,Salesforce Marketing Cloud
ACT-00205,CRM-00104,Win-Back 90d,2025-02-16,Push Notification,High-Value,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Marketing Ops,Internal
ACT-00206,CRM-00103,VIP Early Access,2024-09-06,Push Notification,High-Value,"email, segment, ltv",clicked,99.69,TRUE,CRM Team,Braze
ACT-00207,CRM-00109,Re-engagement Q3,2025-02-02,Display Retargeting,At-Risk,"email, segment, ltv",opened,232.4,TRUE,Marketing Ops,Braze
ACT-00208,CRM-00155,New Arrivals - Electronics,2025-01-17,In-App Banner,High-Value,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Auto-trigger,Google Ads
ACT-00209,CRM-00160,Win-Back 90d,2024-11-23,In-App Banner,Occasional,"device_id, browsing_behaviour",opened,0,TRUE,Auto-trigger,Internal
ACT-00210,CRM-00122,Spring Sale 2024,2024-11-25,Email,New,"email, segment",opened,0,TRUE,Auto-trigger,Klaviyo
ACT-00211,CRM-00169,Win-Back 90d,2025-02-18,In-App Banner,Occasional,"email, segment",opened,267.72,FALSE,Marketing Ops,Klaviyo
ACT-00212,CRM-00071,Birthday Campaign,2024-04-12,SMS,Loyal,"email, sms, segment, ltv, last_order_date",bounced,264.49,TRUE,CRM Team,Internal
ACT-00213,CRM-00045,Loyalty Reward,2023-04-02,In-App Banner,At-Risk,"email, purchase_history, category_affinity",no_response,0,TRUE,Marketing Ops,Klaviyo
ACT-00214,CRM-00081,Re-engagement Q3,2024-06-18,SMS,High-Value,"email, purchase_history, category_affinity",clicked,0,FALSE,Marketing Ops,Meta Ads Manager
ACT-00215,CRM-00069,Post-Purchase Upsell,2023-10-30,Email,Occasional,"email, segment, ltv",clicked,229.18,TRUE,Auto-trigger,Braze
ACT-00216,CRM-00097,New Arrivals - Electronics,2023-05-29,Push Notification,At-Risk,"device_id, browsing_behaviour",bounced,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00217,CRM-00199,Black Friday 2024,2024-07-02,Email,Loyal,"email, segment",bounced,275.52,TRUE,CRM Team,Braze
ACT-00218,CRM-00110,VIP Early Access,2025-03-13,SMS,Loyal,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Auto-trigger,Google Ads
ACT-00219,CRM-00247,Re-engagement Q3,2024-01-10,SMS,Occasional,"email, sms, segment, ltv, last_order_date",converted,258.61,TRUE,Data Team,Internal
ACT-00220,CRM-00236,Birthday Campaign,2024-08-16,Paid Social - Meta,At-Risk,"email, profiling_score, segment",clicked,0,TRUE,Auto-trigger,Google Ads
ACT-00221,CRM-00113,VIP Early Access,2024-01-29,Email,New,"email, purchase_history, category_affinity",clicked,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00222,CRM-00013,Re-engagement Q3,2024-10-14,Paid Social - Google,Loyal,"email, sms, segment, ltv, last_order_date",no_response,0,FALSE,Data Team,Internal
ACT-00223,CRM-00215,Black Friday 2024,2024-08-05,Push Notification,High-Value,"device_id, browsing_behaviour",opened,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00224,CRM-00188,VIP Early Access,2023-09-12,Display Retargeting,Occasional,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Marketing Ops,Google Ads
ACT-00225,CRM-00016,Win-Back 90d,2023-05-31,Display Retargeting,Loyal,"email, segment",no_response,215.32,TRUE,Data Team,Internal
ACT-00226,CRM-00063,Black Friday 2024,2023-12-05,Paid Social - Meta,At-Risk,"device_id, browsing_behaviour",opened,89.87,TRUE,Marketing Ops,Braze
ACT-00227,CRM-00124,New Arrivals - Electronics,2024-08-01,Paid Social - Google,At-Risk,"email, segment, ltv",opened,0,TRUE,CRM Team,Google Ads
ACT-00228,CRM-00257,Loyalty Reward,2023-04-16,Display Retargeting,New,"email, sms, segment, ltv, last_order_date",bounced,91.09,TRUE,CRM Team,Internal
ACT-00229,CRM-00168,Black Friday 2024,2023-10-29,Push Notification,High-Value,"email, purchase_history, category_affinity",bounced,240.06,TRUE,Auto-trigger,Internal
ACT-00230,CRM-00186,Spring Sale 2024,2023-01-22,Display Retargeting,High-Value,"email, segment, ltv",opened,0,FALSE,Data Team,Internal
ACT-00231,CRM-00236,Birthday Campaign,2025-03-01,Email,Loyal,"email, segment, ltv",clicked,0,TRUE,Data Team,Google Ads
ACT-00232,CRM-00006,Black Friday 2024,2024-05-27,SMS,Occasional,"email, segment",opened,0,FALSE,Marketing Ops,Meta Ads Manager
ACT-00233,CRM-00188,Birthday Campaign,2023-11-14,SMS,Occasional,"email, sms, segment, ltv, last_order_date",unsubscribed,0,TRUE,CRM Team,Meta Ads Manager
ACT-00234,CRM-00191,Post-Purchase Upsell,2024-08-06,SMS,At-Risk,"email, segment, ltv",no_response,274.5,TRUE,Data Team,Google Ads
ACT-00235,CRM-00282,Cart Abandonment,2024-09-25,In-App Banner,Loyal,"device_id, browsing_behaviour",opened,0,FALSE,Marketing Ops,Braze
ACT-00236,CRM-00278,New Arrivals - Electronics,2025-03-22,Paid Social - Google,Occasional,"device_id, browsing_behaviour",opened,15.92,FALSE,Marketing Ops,Salesforce Marketing Cloud
ACT-00237,CRM-00056,Black Friday 2024,2023-07-19,Paid Social - Google,New,"email, segment",no_response,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00238,CRM-00020,Black Friday 2024,2023-06-29,Paid Social - Google,High-Value,"device_id, browsing_behaviour",opened,0,TRUE,Marketing Ops,Klaviyo
ACT-00239,CRM-00081,Birthday Campaign,2023-07-14,Paid Social - Meta,High-Value,"email, profiling_score, segment",bounced,0,TRUE,CRM Team,Meta Ads Manager
ACT-00240,CRM-00015,Post-Purchase Upsell,2023-04-21,Paid Social - Meta,Loyal,"email, segment, ltv",opened,0,TRUE,Marketing Ops,Braze
ACT-00241,CRM-00037,Birthday Campaign,2023-07-09,Paid Social - Google,New,"email, purchase_history, category_affinity",clicked,0,FALSE,CRM Team,Google Ads
ACT-00242,CRM-00118,Spring Sale 2024,2025-03-10,Paid Social - Google,High-Value,"email, purchase_history, category_affinity",bounced,24.02,FALSE,CRM Team,Meta Ads Manager
ACT-00243,CRM-00251,VIP Early Access,2025-04-06,Display Retargeting,Loyal,"device_id, browsing_behaviour",no_response,0,TRUE,Data Team,Internal
ACT-00244,CRM-00038,VIP Early Access,2025-04-19,Paid Social - Meta,At-Risk,"email, sms, segment, ltv, last_order_date",no_response,169.37,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00245,CRM-00167,Spring Sale 2024,2023-08-17,Push Notification,Loyal,"email, segment, ltv",opened,0,TRUE,Data Team,Klaviyo
ACT-00246,CRM-00159,Win-Back 90d,2023-10-29,Paid Social - Meta,New,"email, segment",opened,10.2,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00247,CRM-00002,Spring Sale 2024,2025-03-10,In-App Banner,At-Risk,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Auto-trigger,Google Ads
ACT-00248,CRM-00188,Black Friday 2024,2023-05-25,Display Retargeting,Occasional,"device_id, browsing_behaviour",no_response,0,TRUE,Data Team,Klaviyo
ACT-00249,CRM-00078,Cart Abandonment,2025-03-05,Push Notification,At-Risk,"email, segment, ltv",no_response,12.75,TRUE,Data Team,Internal
ACT-00250,CRM-00258,Birthday Campaign,2024-03-16,Paid Social - Meta,Occasional,"email, profiling_score, segment",opened,0,TRUE,Auto-trigger,Google Ads
ACT-00251,CRM-00054,New Arrivals - Electronics,2024-02-18,Paid Social - Meta,At-Risk,"email, profiling_score, segment",converted,8.27,FALSE,Data Team,Internal
ACT-00252,CRM-00285,Black Friday 2024,2024-07-31,Display Retargeting,New,"email, segment, ltv",unsubscribed,0,TRUE,Auto-trigger,Klaviyo
ACT-00253,CRM-00150,Post-Purchase Upsell,2024-07-27,In-App Banner,At-Risk,"email, purchase_history, category_affinity",bounced,70.07,FALSE,CRM Team,Meta Ads Manager
ACT-00254,CRM-00280,Birthday Campaign,2023-02-26,Paid Social - Meta,Loyal,"email, sms, segment, ltv, last_order_date",clicked,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00255,CRM-00155,Post-Purchase Upsell,2024-02-22,Display Retargeting,Loyal,"device_id, browsing_behaviour",no_response,0,TRUE,CRM Team,Braze
ACT-00256,CRM-00114,VIP Early Access,2024-09-29,SMS,High-Value,"email, profiling_score, segment",bounced,0,TRUE,Marketing Ops,Klaviyo
ACT-00257,CRM-00230,Post-Purchase Upsell,2024-12-17,Display Retargeting,At-Risk,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Auto-trigger,Klaviyo
ACT-00258,CRM-00159,Black Friday 2024,2023-01-24,Paid Social - Meta,High-Value,"email, segment",clicked,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00259,CRM-00020,Win-Back 90d,2024-07-25,Push Notification,Loyal,"email, purchase_history, category_affinity",no_response,0,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00260,CRM-00081,Black Friday 2024,2024-04-29,Display Retargeting,High-Value,"email, sms, segment, ltv, last_order_date",clicked,0,TRUE,Data Team,Braze
ACT-00261,CRM-00047,Birthday Campaign,2023-06-08,Email,Loyal,"email, profiling_score, segment",opened,241.63,TRUE,Data Team,Salesforce Marketing Cloud
ACT-00262,CRM-00020,Birthday Campaign,2024-02-12,Push Notification,New,"device_id, browsing_behaviour",bounced,0,TRUE,Auto-trigger,Internal
ACT-00263,CRM-00209,Re-engagement Q3,2024-10-17,SMS,High-Value,"email, sms, segment, ltv, last_order_date",converted,0,FALSE,Auto-trigger,Meta Ads Manager
ACT-00264,CRM-00186,Re-engagement Q3,2023-05-01,In-App Banner,New,"email, sms, segment, ltv, last_order_date",bounced,0,TRUE,Auto-trigger,Google Ads
ACT-00265,CRM-00089,Post-Purchase Upsell,2024-04-13,Paid Social - Google,High-Value,"email, purchase_history, category_affinity",opened,0,FALSE,Data Team,Google Ads
ACT-00266,CRM-00052,Win-Back 90d,2025-02-21,Display Retargeting,At-Risk,"device_id, browsing_behaviour",opened,190.15,FALSE,Auto-trigger,Salesforce Marketing Cloud
ACT-00267,CRM-00172,Loyalty Reward,2024-03-03,Display Retargeting,Occasional,"email, profiling_score, segment",opened,0,TRUE,Auto-trigger,Meta Ads Manager
ACT-00268,CRM-00201,Birthday Campaign,2023-02-01,Push Notification,Loyal,"device_id, browsing_behaviour",no_response,0,TRUE,Data Team,Internal
ACT-00269,CRM-00220,Birthday Campaign,2024-10-19,SMS,New,"email, sms, segment, ltv, last_order_date",converted,0,FALSE,CRM Team,Meta Ads Manager
ACT-00270,CRM-00123,Loyalty Reward,2024-03-28,SMS,Loyal,"email, profiling_score, segment",bounced,275.98,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00271,CRM-00048,Spring Sale 2024,2023-06-28,Push Notification,Occasional,"device_id, browsing_behaviour",no_response,282.15,TRUE,Marketing Ops,Internal
ACT-00272,CRM-00073,Loyalty Reward,2025-02-06,Email,New,"email, profiling_score, segment",no_response,0,FALSE,Auto-trigger,Internal
ACT-00273,CRM-00126,Re-engagement Q3,2023-08-10,Paid Social - Google,At-Risk,"email, profiling_score, segment",clicked,0,TRUE,Data Team,Klaviyo
ACT-00274,CRM-00216,Win-Back 90d,2023-11-13,Push Notification,High-Value,"email, segment, ltv",opened,0,TRUE,Auto-trigger,Klaviyo
ACT-00275,CRM-00111,VIP Early Access,2024-07-29,In-App Banner,Loyal,"email, segment",converted,0,TRUE,CRM Team,Google Ads
ACT-00276,CRM-00218,Cart Abandonment,2025-01-11,In-App Banner,Occasional,"email, segment, ltv",no_response,270.34,TRUE,Data Team,Klaviyo
ACT-00277,CRM-00159,Birthday Campaign,2023-08-22,Push Notification,Occasional,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Data Team,Internal
ACT-00278,CRM-00065,New Arrivals - Electronics,2024-06-16,Display Retargeting,High-Value,"email, segment",unsubscribed,0,TRUE,CRM Team,Klaviyo
ACT-00279,CRM-00093,Loyalty Reward,2024-09-13,Paid Social - Google,New,"email, purchase_history, category_affinity",no_response,0,TRUE,CRM Team,Google Ads
ACT-00280,CRM-00234,New Arrivals - Electronics,2023-08-14,In-App Banner,High-Value,"email, profiling_score, segment",no_response,0,FALSE,Auto-trigger,Salesforce Marketing Cloud
ACT-00281,CRM-00025,Loyalty Reward,2023-11-30,In-App Banner,New,"email, segment, ltv",opened,257.98,TRUE,Marketing Ops,Braze
ACT-00282,CRM-00263,Cart Abandonment,2024-11-17,Email,New,"email, segment",bounced,0,TRUE,Data Team,Klaviyo
ACT-00283,CRM-00247,Birthday Campaign,2024-11-09,Display Retargeting,Occasional,"email, segment, ltv",opened,0,TRUE,Data Team,Braze
ACT-00284,CRM-00088,VIP Early Access,2024-09-08,Push Notification,High-Value,"email, sms, segment, ltv, last_order_date",clicked,95.85,TRUE,Marketing Ops,Klaviyo
ACT-00285,CRM-00295,Spring Sale 2024,2024-01-06,Push Notification,New,"device_id, browsing_behaviour",no_response,258.85,TRUE,Auto-trigger,Braze
ACT-00286,CRM-00117,Black Friday 2024,2024-10-27,In-App Banner,Loyal,"email, segment, ltv",no_response,0,TRUE,Marketing Ops,Braze
ACT-00287,CRM-00107,Loyalty Reward,2023-09-07,Email,Loyal,"email, segment",clicked,0,TRUE,CRM Team,Braze
ACT-00288,CRM-00226,Post-Purchase Upsell,2024-06-16,Push Notification,Loyal,"device_id, browsing_behaviour",converted,239.38,FALSE,Auto-trigger,Braze
ACT-00289,CRM-00228,New Arrivals - Electronics,2023-05-22,Push Notification,At-Risk,"email, segment, ltv",no_response,0,TRUE,Data Team,Salesforce Marketing Cloud
ACT-00290,CRM-00260,Re-engagement Q3,2024-11-04,Paid Social - Google,Occasional,"device_id, browsing_behaviour",opened,0,FALSE,Auto-trigger,Google Ads
ACT-00291,CRM-00013,Black Friday 2024,2024-07-28,Push Notification,High-Value,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00292,CRM-00121,Re-engagement Q3,2025-02-14,In-App Banner,At-Risk,"email, profiling_score, segment",clicked,0,TRUE,Auto-trigger,Braze
ACT-00293,CRM-00069,Loyalty Reward,2023-01-18,Display Retargeting,At-Risk,"email, purchase_history, category_affinity",opened,131.42,TRUE,Auto-trigger,Klaviyo
ACT-00294,CRM-00203,Loyalty Reward,2025-04-18,Email,At-Risk,"email, purchase_history, category_affinity",clicked,250.43,TRUE,CRM Team,Internal
ACT-00295,CRM-00102,Black Friday 2024,2023-10-19,Display Retargeting,Loyal,"device_id, browsing_behaviour",opened,132.88,TRUE,CRM Team,Meta Ads Manager
ACT-00296,CRM-00205,Birthday Campaign,2025-04-27,SMS,High-Value,"email, segment",no_response,38.74,TRUE,Data Team,Internal
ACT-00297,CRM-00089,Loyalty Reward,2023-01-04,Paid Social - Google,Loyal,"email, profiling_score, segment",bounced,0,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00298,CRM-00288,New Arrivals - Electronics,2023-12-19,Email,At-Risk,"email, profiling_score, segment",converted,106.16,TRUE,Auto-trigger,Google Ads
ACT-00299,CRM-00274,Birthday Campaign,2024-02-22,Email,High-Value,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Marketing Ops,Internal
ACT-00300,CRM-00007,VIP Early Access,2024-11-10,Paid Social - Meta,Loyal,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Data Team,Salesforce Marketing Cloud
ACT-00301,CRM-00026,Black Friday 2024,2023-05-01,Display Retargeting,High-Value,"email, purchase_history, category_affinity",no_response,0,TRUE,Marketing Ops,Braze
ACT-00302,CRM-00114,Black Friday 2024,2023-05-26,Email,High-Value,"email, segment",clicked,0,FALSE,CRM Team,Internal
ACT-00303,CRM-00124,New Arrivals - Electronics,2024-12-12,Email,High-Value,"email, profiling_score, segment",converted,0,TRUE,Data Team,Braze
ACT-00304,CRM-00084,Birthday Campaign,2024-08-02,Paid Social - Google,Occasional,"device_id, browsing_behaviour",converted,0,FALSE,Auto-trigger,Google Ads
ACT-00305,CRM-00088,Loyalty Reward,2024-09-16,Push Notification,At-Risk,"email, segment",opened,294.77,TRUE,CRM Team,Braze
ACT-00306,CRM-00173,VIP Early Access,2024-03-20,Paid Social - Meta,New,"email, segment, ltv",clicked,203.26,TRUE,Marketing Ops,Google Ads
ACT-00307,CRM-00245,VIP Early Access,2023-12-16,SMS,New,"device_id, browsing_behaviour",no_response,91.22,TRUE,Data Team,Meta Ads Manager
ACT-00308,CRM-00152,Win-Back 90d,2023-01-31,Paid Social - Meta,Occasional,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Data Team,Internal
ACT-00309,CRM-00276,Birthday Campaign,2024-07-16,Push Notification,New,"email, profiling_score, segment",opened,269.18,TRUE,CRM Team,Braze
ACT-00310,CRM-00232,Black Friday 2024,2025-04-03,Push Notification,At-Risk,"email, profiling_score, segment",bounced,83.23,TRUE,Marketing Ops,Internal
ACT-00311,CRM-00220,Cart Abandonment,2025-03-13,Display Retargeting,New,"email, profiling_score, segment",clicked,9.43,TRUE,Marketing Ops,Klaviyo
ACT-00312,CRM-00111,Loyalty Reward,2023-05-31,Paid Social - Google,At-Risk,"device_id, browsing_behaviour",opened,13.68,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00313,CRM-00167,Spring Sale 2024,2024-02-20,Paid Social - Meta,Occasional,"email, purchase_history, category_affinity",opened,0,TRUE,Auto-trigger,Klaviyo
ACT-00314,CRM-00151,Birthday Campaign,2024-08-27,SMS,High-Value,"email, segment",converted,0,TRUE,Marketing Ops,Meta Ads Manager
ACT-00315,CRM-00054,Win-Back 90d,2025-02-20,Email,At-Risk,"email, profiling_score, segment",no_response,21.6,TRUE,Auto-trigger,Braze
ACT-00316,CRM-00295,Birthday Campaign,2024-01-03,Paid Social - Google,New,"email, segment, ltv",no_response,184.03,TRUE,Data Team,Salesforce Marketing Cloud
ACT-00317,CRM-00100,Spring Sale 2024,2024-07-11,Push Notification,Occasional,"email, sms, segment, ltv, last_order_date",bounced,66.41,TRUE,Marketing Ops,Salesforce Marketing Cloud
ACT-00318,CRM-00292,New Arrivals - Electronics,2024-11-23,In-App Banner,At-Risk,"device_id, browsing_behaviour",clicked,0,TRUE,CRM Team,Salesforce Marketing Cloud
ACT-00319,CRM-00140,VIP Early Access,2023-05-31,Paid Social - Meta,At-Risk,"email, profiling_score, segment",converted,0,TRUE,Data Team,Meta Ads Manager
ACT-00320,CRM-00250,Cart Abandonment,2024-03-20,Paid Social - Meta,At-Risk,"email, profiling_score, segment",clicked,0,TRUE,Data Team,Internal
ACT-00321,CRM-00019,Win-Back 90d,2024-11-07,Paid Social - Google,New,"email, segment",unsubscribed,163.63,TRUE,Data Team,Meta Ads Manager
ACT-00322,CRM-00207,Spring Sale 2024,2023-09-30,Display Retargeting,Loyal,"email, sms, segment, ltv, last_order_date",opened,225.01,TRUE,Auto-trigger,Klaviyo
ACT-00323,CRM-00012,Post-Purchase Upsell,2023-04-06,Email,Loyal,"device_id, browsing_behaviour",converted,0,FALSE,Data Team,Salesforce Marketing Cloud
ACT-00324,CRM-00207,Spring Sale 2024,2025-03-13,Display Retargeting,At-Risk,"device_id, browsing_behaviour",bounced,0,TRUE,Data Team,Meta Ads Manager
ACT-00325,CRM-00018,Win-Back 90d,2024-07-17,Paid Social - Meta,New,"email, sms, segment, ltv, last_order_date",no_response,13.71,TRUE,Auto-trigger,Internal
ACT-00326,CRM-00256,New Arrivals - Electronics,2024-01-27,Push Notification,High-Value,"email, purchase_history, category_affinity",bounced,0,TRUE,Auto-trigger,Braze
ACT-00327,CRM-00072,New Arrivals - Electronics,2024-08-09,In-App Banner,Loyal,"email, profiling_score, segment",clicked,122.27,TRUE,Marketing Ops,Google Ads
ACT-00328,CRM-00275,Black Friday 2024,2024-01-23,Push Notification,At-Risk,"email, segment",converted,0,TRUE,Data Team,Braze
ACT-00329,CRM-00063,Win-Back 90d,2023-12-19,SMS,New,"email, sms, segment, ltv, last_order_date",opened,0,TRUE,Data Team,Klaviyo
ACT-00330,CRM-00230,Loyalty Reward,2024-02-21,Paid Social - Meta,New,"device_id, browsing_behaviour",converted,5.77,TRUE,Data Team,Klaviyo
ACT-00331,CRM-00107,Black Friday 2024,2024-10-07,Paid Social - Meta,High-Value,"email, segment, ltv",no_response,0,FALSE,Data Team,Klaviyo
ACT-00332,CRM-00249,Spring Sale 2024,2023-03-16,SMS,High-Value,"email, segment",converted,0,FALSE,Marketing Ops,Google Ads
ACT-00333,CRM-00078,Spring Sale 2024,2025-04-29,SMS,High-Value,"device_id, browsing_behaviour",opened,0,TRUE,Data Team,Google Ads
ACT-00334,CRM-00095,Re-engagement Q3,2023-08-10,Display Retargeting,Occasional,"email, sms, segment, ltv, last_order_date",converted,0,TRUE,Data Team,Internal
ACT-00335,CRM-00213,VIP Early Access,2023-01-16,SMS,High-Value,"email, segment",clicked,116.06,TRUE,CRM Team,Meta Ads Manager
ACT-00336,CRM-00119,Post-Purchase Upsell,2024-07-29,Paid Social - Google,High-Value,"email, purchase_history, category_affinity",converted,0,TRUE,Data Team,Klaviyo
ACT-00337,CRM-00067,Birthday Campaign,2024-05-08,Display Retargeting,Occasional,"email, segment, ltv",converted,233.49,TRUE,CRM Team,Klaviyo
ACT-00338,CRM-00043,VIP Early Access,2025-04-08,SMS,High-Value,"device_id, browsing_behaviour",no_response,0,TRUE,Auto-trigger,Salesforce Marketing Cloud
ACT-00339,CRM-00031,Win-Back 90d,2024-03-12,Paid Social - Meta,High-Value,"email, segment, ltv",converted,0,TRUE,Marketing Ops,Google Ads
ACT-00340,CRM-00029,Win-Back 90d,2023-04-11,Push Notification,Loyal,"email, purchase_history, category_affinity",unsubscribed,0,FALSE,Marketing Ops,Klaviyo
ACT-00341,CRM-00180,Post-Purchase Upsell,2024-11-19,Paid Social - Meta,High-Value,"email, sms, segment, ltv, last_order_date",no_response,0,TRUE,Data Team,Klaviyo
ACT-00342,CRM-00158,Post-Purchase Upsell,2025-04-30,Push Notification,New,"email, segment",unsubscribed,266.93,TRUE,Data Team,Braze
ACT-00343,CRM-00217,VIP Early Access,2024-12-03,In-App Banner,Occasional,"email, segment, ltv",converted,58.15,TRUE,Auto-trigger,Meta Ads Manager
ACT-00344,CRM-00237,Birthday Campaign,2023-05-30,Paid Social - Google,Loyal,"device_id, browsing_behaviour",clicked,0,FALSE,Data Team,Meta Ads Manager
